Institution,Program Scope,Tiers,Fees Public,Fee Notes,Partners Public,No Of Public Partners,Tier Names,Top Partners,Sectors Represented,Benefits
MIT,Department (EECS),No,No,,Yes,29.0,,,,
Stanford,School (Engineering),No,No,,Unknown,,,,,
UC Berkeley,Department (EECS),No,No,,Unknown,,,,,
Georgia Tech,Department (ECE),No,No,,Unknown,,,,,
UIUC,Department (ECE),No,No,,Unknown,,,,,
U. Michigan,School (Engineering),Yes,Yes,$5k–$10k tiers,Unknown,,,,,
Caltech,Division (CMS-EE),No,No,,Unknown,,,,,
Carnegie Mellon,Department (ECE),Yes,Yes,$5k–$25k (Capstone $5k; Curriculum/PhD $25k),Unknown,,,,,
Purdue,Department (ECE),Yes,Yes,$5k–$25k across tiers,Yes,42.0,,,,
UT Austin,Department (ECE),No,No,,Unknown,,,,,
UCLA,School (Engineering),No,No,,Unknown,,,,,
UC San Diego,School (Engineering),No,No,,Yes,71.0,,,,
Texas A&M,Department (ECE),Yes,Yes,$15k–$25k tiers,Unknown,,,,,
U. Maryland,Department (ECE),No,No,,Unknown,,,,,
U. Washington,Department (ECE),Yes,No,,Unknown,,,,,
USC,School (Engineering),No,Yes,$4k–$10k partner program,Unknown,,,,,
Cornell,School (Engineering),No,No,,Unknown,,,,,
Princeton,Department (EE),Yes,No,,Unknown,,,,,
Columbia,School (Engineering),No,No,,Unknown,,,,,
Harvard,School (SEAS),No,No,,Unknown,,,,,
